cutoff,rank_within_cutoff,model_variant,class,transfer_mode,horizon_days,forecast_window_crps,best_epsilon_label,best_epsilon_value,best_c_factor,selection_basis,source_label,source_run_id,source_run_dir,source_config_path,source_full_crps,discount_case_id,df_t,df_s1,df_s2,df_s67,df_discrep,lambda,df_trans,df_covs
20210123,1,exdqlm_multivar_keep,bayes,keep,28,0.1397088548478634,c04_eps365,365.0,1.0,exdqlm_multivar_keep_canonical_grid_20260524:authoritative_winner,c04_eps365,multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep/resolved_config.yaml,0.1397088548478634,c04,0.9995,0.999,0.999,0.9995,0.999,0.97,0.9999999,0.99999
20211112,1,exdqlm_multivar_keep,bayes,keep,28,0.0472363501409808,c04_eps365,365.0,1.0,exdqlm_multivar_keep_canonical_grid_20260524:authoritative_winner,c04_eps365,multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep/resolved_config.yaml,0.0472363501409808,c04,0.9995,0.999,0.999,0.9995,0.999,0.97,0.9999999,0.99999
20211221,1,exdqlm_multivar_keep,bayes,keep,28,0.2604466008954305,he2partial20260623,30.0,1.0,exdqlm_multivar_keep_partial_authority_refresh_20260623:clean_replay,he2partial20260623,multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_partial_authority_refresh_20260623/runs/multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_partial_authority_refresh_20260623/runs/multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep/resolved_config.yaml,0.2604466008954305,he2partial20260623,0.999999,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.9999999
20220511,1,exdqlm_multivar_keep,bayes,keep,28,0.0227281783203013,he2partial20260623,1.0,1.0,exdqlm_multivar_keep_partial_authority_refresh_20260623:clean_replay,he2partial20260623,multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_partial_authority_refresh_20260623/runs/multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_partial_authority_refresh_20260623/runs/multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep/resolved_config.yaml,0.0227281783203013,he2partial20260623,0.9999999,0.9995,0.9995,0.9995,0.999,0.97,0.999999,0.999999
20221225,1,exdqlm_multivar_keep,bayes,keep,28,0.5380554847458453,he2partial20260623,1.0,1.0,exdqlm_multivar_keep_partial_authority_refresh_20260623:clean_replay,he2partial20260623,multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_partial_authority_refresh_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_partial_authority_refresh_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep/resolved_config.yaml,0.5380554847458453,he2partial20260623,0.999999,0.9995,0.9995,0.9999,0.999,0.97,0.9999999,0.9999999
20210123,2,exdqlm_multivar_drop,bayes,drop,28,0.7568212048469477,publication_manifest,365.0,1.0,he2_publication_manifest_exal_m_t0_for_he3_notf_delta,,multimodel_20210123_v8_he2tbl1fix20260612_exdqlm_multivar_drop,,,,,,,,,,,,
20211112,2,exdqlm_multivar_drop,bayes,drop,28,1.721353407149969,publication_manifest,365.0,1.0,he2_publication_manifest_exal_m_t0_for_he3_notf_delta,,multimodel_20211112_v8_he2tbl1fix20260612_exdqlm_multivar_drop,,,,,,,,,,,,
20211221,2,exdqlm_multivar_drop,bayes,drop,28,0.9776190703422162,publication_manifest,30.0,1.0,he2_publication_manifest_exal_m_t0_for_he3_notf_delta,,multimodel_20211221_v8_he2tbl1fix20260612_exdqlm_multivar_drop,,,,,,,,,,,,
20220511,2,exdqlm_multivar_drop,bayes,drop,28,1.0208652762665102,publication_manifest,1.0,1.0,he2_publication_manifest_exal_m_t0_for_he3_notf_delta,,multimodel_20220511_v8_he2tbl1fix20260612_exdqlm_multivar_drop,,,,,,,,,,,,
20221225,2,exdqlm_multivar_drop,bayes,drop,28,1.2113191493945392,publication_manifest,1.0,1.0,he2_publication_manifest_exal_m_t0_for_he3_notf_delta,,multimodel_20221225_v8_he2pubgdpc1r1_exdqlm_multivar_drop,,,,,,,,,,,,
